"Date";"Version";"Comments"
"2012-05-25";"2.1";"Including the <a href='http://highslide.com/' target='_blank'>Highslide JS</a> library for better screenshot display."
"2012-05-24";"2.0";"<b>Complete modification.</b> <em>Shenmue I</em> modification guide by <a href='http://tiovictor.romhackhispano.org/' target='_blank'>IlDucci</a> added."
"2010-03-05";"1.1";"Adding the <em>Loading screen</em> modification procedure for Shenmue II."
"2009-11-28";"1.0";"First publication of the document."
"2009-11-18";"0.9";"Adding the Shenmue II translation part."
"2009-11-16";"0.8";"First part of this document done."
